Band,MJD,Flux,Error,Telescope
V,58562.7951,1.1954139,0.038655963,UVOT
W1,58563.1292,4.3599723,0.08271988,UVOT
U,58563.12989,2.9425416,0.071987943,UVOT
B,58563.13037,1.660119,0.042502356,UVOT
W2,58563.13149,6.339121,0.09529347,UVOT
HX,58563.13158,1.088925,0.092358,XRT
SX,58563.13158,0.369992,0.053821,XRT
V,58563.13261,1.274165,0.041394013,UVOT
M2,58563.13367,5.2190155,0.09049319,UVOT
U,58570.91557,2.9649802,0.069378166,UVOT
B,58570.9161,1.6034615,0.039255927,UVOT
HX,58570.91743,1.319676,0.100845,XRT
SX,58570.91743,0.56975,0.066405,XRT
V,58570.91858,1.2398605,0.039143327,UVOT
W1,58571.90897,4.6686972,0.0792191,UVOT
U,58571.90987,3.0505397,0.066616653,UVOT
B,58571.91048,1.7158348,0.038319935,UVOT
W2,58571.91196,6.978268,0.09507596,UVOT
HX,58571.91203,1.283066,0.088532,XRT
SX,58571.91203,0.633244,0.062362,XRT
V,58571.91342,1.2937639,0.03683124,UVOT
M2,58571.91474,5.892329,0.09300793,UVOT
W1,58572.83694,4.7012426,0.08623582,UVOT
U,58572.83766,3.0062294,0.071826525,UVOT
B,58572.83817,1.6635466,0.041202208,UVOT
W2,58572.83936,7.102023,0.10289151,UVOT
HX,58572.8396,1.165372,0.099254,XRT
SX,58572.8396,0.626328,0.072811,XRT
V,58572.84054,1.2999351,0.041478047,UVOT
M2,58572.84181,5.7585894,0.09097047,UVOT
W1,58573.5727,4.5346837,0.08138825,UVOT
U,58573.57347,3.1104324,0.071953077,UVOT
B,58573.57401,1.7220468,0.040696243,UVOT
HX,58573.57518,1.181116,0.083873,XRT
SX,58573.57518,0.573853,0.058362,XRT
W2,58573.57528,7.014119,0.09958676,UVOT
V,58573.57655,1.3551915,0.03998125,UVOT
M2,58573.57753,5.863882,0.10385955,UVOT
W1,58574.63627,4.6485646,0.08667376,UVOT
U,58574.63696,3.1835134,0.07737957,UVOT
B,58574.63744,1.7094524,0.042476643,UVOT
W2,58574.63858,7.081995,0.10386681,UVOT
HX,58574.63893,1.068389,0.086993,XRT
SX,58574.63893,0.508248,0.06013,XRT
V,58574.63971,1.33304444,0.041858372,UVOT
M2,58574.64104,5.831642,0.09006009,UVOT
W1,58575.22558,4.8090712,0.087079063,UVOT
U,58575.22632,2.9940158,0.07075915,UVOT
B,58575.22684,1.6682597,0.040897715,UVOT
HX,58575.22802,1.423944,0.094197,XRT
SX,58575.22802,0.657186,0.064597,XRT
W2,58575.22805,7.039527,0.10166733,UVOT
V,58575.22925,1.3080008,0.040856152,UVOT
M2,58575.23027,5.8246275,0.10142017,UVOT
W1,58576.49827,4.538478,0.07881433,UVOT
U,58576.49912,3.2235075,0.071617197,UVOT
B,58576.4997,1.7539532,0.03919094,UVOT
W2,58576.50109,7.119849,0.09834584,UVOT
HX,58576.50113,1.394113,0.085125,XRT
SX,58576.50113,0.550314,0.05355,XRT
V,58576.50247,1.3398856,0.038028563,UVOT
M2,58576.5037,5.737485,0.09326626,UVOT
W1,58577.42105,4.8933707,0.085651125,UVOT
U,58577.42186,3.146899,0.0714003,UVOT
B,58577.42242,1.8074812,0.0414225,UVOT
HX,58577.42365,1.411459,0.090264,XRT
SX,58577.42365,0.612653,0.059574,XRT
W2,58577.42374,7.3210975,0.10234302,UVOT
V,58577.42505,1.2853085,0.038192485,UVOT
M2,58577.42609,6.184712,0.10589211,UVOT
B,58578.41014,1.7462421,0.040514777,UVOT
HX,58578.41229,1.396466,0.0956,XRT
SX,58578.41229,0.480815,0.056474,XRT
V,58578.41278,1.343159,0.039275142,UVOT
B,58579.28667,1.741223,0.038396435,UVOT
HX,58579.28798,1.440321,0.107352,XRT
SX,58579.28798,0.693526,0.07463,XRT
V,58579.28956,1.3184534,0.03696402,UVOT
HX,58580.47161,1.310121,0.079175,XRT
SX,58580.47161,0.567703,0.052028,XRT
W1,58581.21222,4.9185472,0.077809066,UVOT
U,58581.21329,3.231684,0.065839617,UVOT
B,58581.21401,1.7936419,0.036464517,UVOT
HX,58581.21569,1.291328,0.062175,XRT
SX,58581.21569,0.580509,0.0417,XRT
W2,58581.21575,7.5329574,0.09730637,UVOT
V,58581.21748,1.342427,0.03446621,UVOT
M2,58581.21888,6.123146,0.09529651,UVOT
W1,58582.1405,4.6496654,0.07626674,UVOT
U,58582.14148,3.3129834,0.06951711,UVOT
B,58582.14215,1.8300152,0.03836445,UVOT
HX,58582.14373,1.589906,0.094963,XRT
SX,58582.14373,0.569851,0.057008,XRT
W2,58582.14377,7.335349,0.09695738,UVOT
V,58582.14537,1.3271365,0.0353927,UVOT
M2,58582.1467,6.144367,0.09670331,UVOT
HX,58583.32994,1.415139,0.089305,XRT
SX,58583.32994,0.641098,0.060318,XRT
HX,58584.39451,1.461427,0.078853,XRT
SX,58584.39451,0.624698,0.051623,XRT
B,58585.32357,1.8053587,0.037944506,UVOT
HX,58585.32508,1.63789,0.099057,XRT
SX,58585.32508,0.830327,0.070724,XRT
W2,58585.32516,7.2382564,0.09620235,UVOT
V,58585.32674,1.3598906,0.03628422,UVOT
U,58586.38422,3.123554,0.06715427,UVOT
B,58586.38485,1.7394325,0.037663455,UVOT
HX,58586.38632,1.195506,0.067651,XRT
SX,58586.38632,0.543481,0.045915,XRT
V,58586.38784,1.3142472,0.036375176,UVOT
W1,58587.44728,4.83346,0.080328634,UVOT
U,58587.4482,3.151924,0.06775428,UVOT
B,58587.44883,1.806035,0.038834182,UVOT
HX,58587.45026,1.121142,0.072186,XRT
SX,58587.45026,0.538817,0.050131,XRT
W2,58587.45034,7.369879,0.098992,UVOT
V,58587.45186,1.3713626,0.037524587,UVOT
M2,58587.45305,5.9503055,0.0978644,UVOT
W1,58588.23804,4.632747,0.07529744,UVOT
U,58588.23904,3.144822,0.06524884,UVOT
B,58588.23973,1.785984,0.037077716,UVOT
W2,58588.24139,7.252817,0.0952378,UVOT
HX,58588.24144,1.491783,0.09231,XRT
SX,58588.24144,0.591658,0.058306,XRT
V,58588.24304,1.3561769,0.035685217,UVOT
M2,58588.24449,6.084972,0.0927539,UVOT
W1,58589.0267,4.748895,0.08454279,UVOT
U,58589.02747,3.0502673,0.07049848,UVOT
B,58589.02801,1.7843691,0.041667004,UVOT
HX,58589.02926,1.313678,0.131412,XRT
SX,58589.02926,0.654721,0.092814,XRT
W2,58589.02929,7.193343,0.10183706,UVOT
V,58589.03056,1.3453351,0.03976728,UVOT
M2,58589.03163,5.985661,0.10225162,UVOT
B,58590.30477,1.7818629,0.03786768,UVOT
HX,58590.30632,1.649858,0.13308,XRT
SX,58590.30632,0.610737,0.081063,XRT
V,58590.30791,1.3060365,0.035646442,UVOT
W1,58591.01894,4.7553365,0.08431159,UVOT
U,58591.01973,3.1915558,0.072942925,UVOT
B,58591.02028,1.7244908,0.039850573,UVOT
HX,58591.02156,1.510843,0.093326,XRT
SX,58591.02156,0.609867,0.059512,XRT
W2,58591.02158,7.155017,0.10081547,UVOT
V,58591.02287,1.3049224,0.038592663,UVOT
M2,58591.02395,5.826134,0.09869186,UVOT
HX,58592.28164,1.290368,0.086858,XRT
SX,58592.28164,0.626558,0.060382,XRT
V,58592.28301,1.3440235,0.038032385,UVOT
W1,58593.74532,4.8421906,0.08253214,UVOT
U,58593.74618,3.116337,0.068569366,UVOT
B,58593.74678,1.8427263,0.040506095,UVOT
W2,58593.74821,7.09314,0.09735041,UVOT
HX,58593.74827,1.189685,0.089035,XRT
SX,58593.74827,0.597533,0.063209,XRT
V,58593.74962,1.3862774,0.038605456,UVOT
M2,58593.75089,5.884463,0.09422271,UVOT
V,58594.20684,1.2839334,0.0257248,UVOT
HX,58594.20744,1.299964,0.084837,XRT
SX,58594.20744,0.575792,0.056524,XRT
U,58594.20935,3.111172,0.063351855,UVOT
B,58594.2103,1.7335881,0.02914943,UVOT
W2,58595.26854,7.1109954,0.09707498,UVOT
V,58595.27044,1.29340635,0.024941338,UVOT
HX,58595.2707,1.151243,0.077893,XRT
SX,58595.2707,0.589706,0.056369,XRT
M2,58595.27159,5.957077,0.13286874,UVOT
W1,58595.27238,4.7836318,0.09422759,UVOT
U,58595.27317,3.2105452,0.063178965,UVOT
B,58595.27382,1.7331583,0.041031184,UVOT
W2,58596.00182,6.820674,0.09422786,UVOT
V,58596.00368,1.3685407,0.026259774,UVOT
HX,58596.00436,1.138553,0.079815,XRT
SX,58596.00436,0.608908,0.058499,XRT
M2,58596.00482,5.96672,0.13380774,UVOT
W1,58596.0056,4.61694,0.09218622,UVOT
U,58596.00635,3.152528,0.06351205,UVOT
W2,58597.1241,6.8937755,0.09398222,UVOT
V,58597.12603,1.3461339,0.025526418,UVOT
HX,58597.12659,1.256281,0.087152,XRT
SX,58597.12659,0.511934,0.055792,XRT
M2,58597.12721,5.920826,0.13132798,UVOT
W1,58597.12801,4.73222,0.09293444,UVOT
U,58597.12881,3.0871668,0.060321266,UVOT
B,58597.12977,1.7934949,0.030478112,UVOT
W2,58601.78217,7.1584686,0.09869136,UVOT
V,58601.78402,1.3580389,0.026219632,UVOT
HX,58601.7844,1.106609,0.072602,XRT
SX,58601.7844,0.479191,0.047742,XRT
M2,58601.78514,6.206113,0.13865532,UVOT
W1,58601.78591,4.8157736,0.0960218,UVOT
U,58601.78667,3.1575244,0.062801617,UVOT
B,58601.78751,1.7654386,0.032720226,UVOT
W2,58602.77316,7.122197,0.09905178,UVOT
V,58602.77493,1.3585596,0.026525374,UVOT
HX,58602.77532,1.305063,0.085764,XRT
SX,58602.77532,0.514896,0.053831,XRT
M2,58602.77601,6.146268,0.13925584,UVOT
W1,58602.77676,4.815893,0.09727566,UVOT
U,58602.7775,3.3784573,0.06819208,UVOT
B,58602.77824,1.8018319,0.036186783,UVOT
W2,58603.2528,7.2325867,0.1418066,UVOT
V,58603.25347,1.3245194,0.039870704,UVOT
HX,58603.25369,1.187488,0.115134,XRT
SX,58603.25369,0.641508,0.084537,XRT
U,58603.2545,3.0868483,0.09418116,UVOT
B,58603.25486,1.738514,0.047629033,UVOT
W2,58605.63772,7.043927,0.10003439,UVOT
HX,58605.63939,1.561296,0.113027,XRT
SX,58605.63939,0.736271,0.077824,XRT
V,58605.6394,1.3007973,0.026710154,UVOT
M2,58605.64041,5.9996414,0.14106078,UVOT
W1,58605.64111,4.712618,0.09828554,UVOT
U,58605.6418,3.0950018,0.065144076,UVOT
W2,58606.68331,6.933084,0.09608468,UVOT
V,58606.68513,1.3435076,0.02592621,UVOT
HX,58606.68575,1.181815,0.084764,XRT
SX,58606.68575,0.648994,0.062901,XRT
M2,58606.68624,5.836293,0.13333998,UVOT
W1,58606.687,4.829876,0.09683767,UVOT
U,58606.68775,3.1539187,0.06289783,UVOT
