Band,MJD,Flux,Error,Telescope
W1,58251.6563,2.970215,0.062093614,UVOT
U,58251.65697,2.0964355,0.05197773,UVOT
B,58251.65744,1.17545,0.031377584,UVOT
W2,58251.65855,4.097269,0.0676866,UVOT
HX,58251.6587,1.03225,0.081921,XRT
SX,58251.6587,0.579916,0.061573,XRT
V,58251.65965,0.9662084,0.034143205,UVOT
M2,58251.66074,3.5544667,0.067190783,UVOT
W1,58252.45247,2.8292005,0.05744162,UVOT
U,58252.45321,2.0285304,0.048362654,UVOT
B,58252.45372,1.2071314,0.030549895,UVOT
W2,58252.45494,4.039084,0.0647389,UVOT
HX,58252.45501,0.994333,0.076852,XRT
SX,58252.45501,0.5824,0.058971,XRT
V,58252.45615,0.9983268,0.033217604,UVOT
W1,58253.85852,2.8864694,0.0569639,UVOT
U,58253.8593,2.0113397,0.04719404,UVOT
B,58253.85985,1.1908594,0.030204798,UVOT
HX,58253.86115,1.072504,0.077501,XRT
SX,58253.86115,0.522117,0.053389,XRT
W2,58253.86115,4.0712835,0.063579876,UVOT
V,58253.86244,0.9589104,0.03252953,UVOT
M2,58253.86355,3.468389,0.06693105,UVOT
W1,58254.57953,2.8887435,0.058294766,UVOT
U,58254.58027,2.0381188,0.048538884,UVOT
B,58254.58078,1.1577605,0.02962176,UVOT
W2,58254.582,4.172667,0.066233916,UVOT
HX,58254.58209,1.126293,0.086643,XRT
SX,58254.58209,0.455282,0.055098,XRT
V,58254.58321,1.00760075,0.033370973,UVOT
M2,58254.58434,3.4212728,0.065132916,UVOT
W1,58255.51521,2.8022222,0.06255777,UVOT
U,58255.51582,1.9975495,0.05278543,UVOT
B,58255.51624,1.1551682,0.033313,UVOT
HX,58255.51734,0.884479,0.061848,XRT
SX,58255.51734,0.510862,0.047245,XRT
V,58255.5182,1.0359504,0.03867211,UVOT
W1,58256.11001,2.863463,0.05234568,UVOT
U,58256.11096,2.0276185,0.0436159,UVOT
B,58256.11162,1.2055772,0.027360549,UVOT
W2,58256.11319,4.1004076,0.06000514,UVOT
HX,58256.11322,1.010857,0.079334,XRT
SX,58256.11322,0.531898,0.057404,XRT
V,58256.11475,0.9868109,0.029988617,UVOT
M2,58256.11611,3.5724323,0.062878766,UVOT
W1,58257.04285,2.8600284,0.053446837,UVOT
U,58257.04375,2.0011487,0.04441078,UVOT
B,58257.04437,1.1950258,0.028578836,UVOT
HX,58257.04564,0.929456,0.063051,XRT
SX,58257.04564,0.54628,0.048321,XRT
W2,58257.04587,4.1861503,0.06208392,UVOT
V,58257.04735,0.9611361,0.030442438,UVOT
M2,58257.04838,3.52647,0.07137763,UVOT
W1,58263.76638,3.1525784,0.061335535,UVOT
U,58263.76715,1.9428796,0.0468658,UVOT
B,58263.76767,1.19009256,0.031147606,UVOT
HX,58263.7689,1.305976,0.096099,XRT
SX,58263.7689,0.754014,0.073321,XRT
W2,58263.76893,4.442771,0.068675986,UVOT
V,58263.77018,0.9934144,0.033810697,UVOT
M2,58263.77123,3.8334943,0.073183234,UVOT
W1,58264.8912,3.2326087,0.058323015,UVOT
U,58264.89211,2.22658,0.0487891,UVOT
B,58264.89274,1.230991,0.029170412,UVOT
HX,58264.89412,1.273978,0.079378,XRT
SX,58264.89412,0.637081,0.056225,XRT
W2,58264.89426,4.8036475,0.06886908,UVOT
V,58264.89576,1.0403542,0.031302444,UVOT
M2,58264.89689,3.936987,0.07364495,UVOT
B,58265.75162,1.2138266,0.03138878,UVOT
HX,58265.75289,1.434658,0.101417,XRT
SX,58265.75289,0.819849,0.076906,XRT
V,58265.75414,0.9882354,0.033677233,UVOT
W1,58266.08143,3.144985,0.058650255,UVOT
U,58266.08229,2.1592854,0.04876022,UVOT
B,58266.08288,1.23138685,0.03020965,UVOT
W2,58266.0843,4.8326428,0.070645894,UVOT
HX,58266.08438,1.295838,0.086488,XRT
SX,58266.08438,0.732627,0.065037,XRT
V,58266.08571,1.0191785,0.032675704,UVOT
M2,58266.087,3.9309532,0.068734627,UVOT
W1,58267.4752,3.1731704,0.059463735,UVOT
U,58267.47604,2.1104285,0.04853148,UVOT
B,58267.47661,1.30374845,0.03195571,UVOT
HX,58267.4778,1.106723,0.077728,XRT
SX,58267.4778,0.606165,0.057632,XRT
W2,58267.47798,4.824657,0.07130763,UVOT
V,58267.47933,0.9698284,0.031976351,UVOT
M2,58267.48033,3.9047294,0.07706168,UVOT
W1,58268.80508,3.1687286,0.058220783,UVOT
U,58268.80596,2.1606401,0.048039225,UVOT
B,58268.80656,1.2799111,0.030182336,UVOT
HX,58268.80801,1.089825,0.075102,XRT
SX,58268.80801,0.655648,0.058276,XRT
W2,58268.80802,4.8573196,0.070310956,UVOT
V,58268.80946,1.0209357,0.031361792,UVOT
M2,58268.81068,3.972031,0.071111433,UVOT
W2,58269.73502,4.4802923,0.066533183,UVOT
HX,58269.73508,0.996565,0.06018,XRT
SX,58269.73508,0.546071,0.044608,XRT
V,58269.73643,1.058388,0.032469695,UVOT
M2,58269.7377,3.692834,0.06595674,UVOT
W1,58270.73513,3.0949154,0.055316487,UVOT
U,58270.7361,2.2032518,0.046962704,UVOT
B,58270.73676,1.2832065,0.02890177,UVOT
HX,58270.73827,1.233602,0.076984,XRT
SX,58270.73827,0.647986,0.055816,XRT
W2,58270.73835,4.6264147,0.065883467,UVOT
V,58270.73993,1.01891524,0.029947189,UVOT
M2,58270.74121,3.862457,0.068900773,UVOT
W1,58271.72384,3.137087,0.056902694,UVOT
U,58271.72476,2.1990497,0.047960737,UVOT
B,58271.72539,1.2605634,0.029330414,UVOT
HX,58271.72676,1.033643,0.071659,XRT
SX,58271.72676,0.575413,0.053523,XRT
W2,58271.72691,4.608484,0.066625944,UVOT
V,58271.72841,1.0189896,0.030739845,UVOT
M2,58271.72954,3.7766492,0.07170836,UVOT
W1,58272.65914,3.101792,0.063264287,UVOT
U,58272.65983,2.1645426,0.053117944,UVOT
B,58272.66031,1.26333575,0.033227062,UVOT
HX,58272.66115,1.029728,0.085041,XRT
SX,58272.66115,0.522054,0.060759,XRT
W2,58272.66145,4.6547683,0.073684645,UVOT
V,58272.66258,1.0231727,0.035094078,UVOT
M2,58272.66325,3.9618628,0.09585941,UVOT
W1,58274.91084,3.285909,0.061322967,UVOT
U,58274.91167,2.1514701,0.04869843,UVOT
B,58274.91224,1.2790778,0.03052578,UVOT
W2,58274.9136,4.877885,0.07211694,UVOT
HX,58274.91368,1.014571,0.057736,XRT
SX,58274.91368,0.491037,0.04019,XRT
V,58274.91496,1.0578346,0.032909697,UVOT
M2,58274.9162,4.127733,0.07220665,UVOT
U,58275.92527,2.2478106,0.051867046,UVOT
B,58275.92582,1.3174644,0.03243576,UVOT
HX,58275.92712,0.944613,0.072403,XRT
SX,58275.92712,0.550818,0.055222,XRT
W2,58275.92712,4.954919,0.0741802,UVOT
V,58275.92841,1.0841437,0.035064538,UVOT
W1,58276.57085,3.3275855,0.06043547,UVOT
U,58276.57173,2.2474576,0.04938508,UVOT
B,58276.57234,1.3166947,0.0302733,UVOT
W2,58276.57379,5.1773808,0.07412576,UVOT
HX,58276.57387,0.912113,0.06096,XRT
SX,58276.57387,0.466783,0.043574,XRT
V,58276.57524,1.0392852,0.031581388,UVOT
M2,58276.57656,4.158398,0.07103594,UVOT
HX,58277.56979,0.858729,0.053043,XRT
SX,58277.56979,0.383474,0.035454,XRT
W1,58278.56167,3.3838204,0.057473785,UVOT
U,58278.56271,2.277885,0.046767045,UVOT
B,58278.56342,1.3441047,0.028565744,UVOT
HX,58278.56506,1.007225,0.065406,XRT
SX,58278.56506,0.435291,0.042806,XRT
W2,58278.56514,5.184643,0.07073819,UVOT
V,58278.56683,1.0630866,0.029552326,UVOT
M2,58278.56821,4.3256533,0.072894946,UVOT
W1,58279.22524,3.4282114,0.053328543,UVOT
U,58279.22657,2.3298046,0.043566965,UVOT
B,58279.22747,1.35567666,0.02593752,UVOT
W2,58279.22967,5.093494,0.065227276,UVOT
HX,58279.22974,1.032918,0.066217,XRT
SX,58279.22974,0.484019,0.045402,XRT
V,58279.23186,1.06242496,0.026539713,UVOT
M2,58279.23376,4.3504737,0.06575016,UVOT
U,58280.81928,2.2378065,0.05032699,UVOT
B,58280.81986,1.3045143,0.030787244,UVOT
HX,58280.8213,1.008114,0.058487,XRT
SX,58280.8213,0.46032,0.039646,XRT
V,58280.82259,1.0378961,0.032176833,UVOT
W1,58281.81355,3.3317465,0.061463855,UVOT
U,58281.8144,2.2108658,0.04938737,UVOT
B,58281.81498,1.2843724,0.030170617,UVOT
W2,58281.81638,4.9595392,0.07261499,UVOT
HX,58281.81643,0.920715,0.059427,XRT
SX,58281.81643,0.414543,0.039765,XRT
V,58281.81776,1.0315744,0.03183481,UVOT
M2,58281.81899,4.1224267,0.07242144,UVOT
B,58282.81124,1.3414753,0.0289778,UVOT
W2,58282.8129,4.769309,0.066681006,UVOT
HX,58282.81297,0.992008,0.055798,XRT
SX,58282.81297,0.474921,0.038554,XRT
V,58282.81455,1.03474426,0.029548075,UVOT
U,58284.93466,2.1421624,0.04845718,UVOT
B,58284.93523,1.31798005,0.031069296,UVOT
HX,58284.93664,0.899128,0.055248,XRT
SX,58284.93664,0.375377,0.035736,XRT
V,58284.93794,1.0285564,0.032122512,UVOT
W1,58285.73291,3.1630623,0.061408735,UVOT
U,58285.73367,2.2007827,0.05142388,UVOT
B,58285.7342,1.2887997,0.031746837,UVOT
HX,58285.73446,0.909645,0.107192,XRT
SX,58285.73446,0.65787,0.091056,XRT
W2,58285.73546,4.701717,0.071775444,UVOT
W1,58286.06303,3.1544923,0.059524547,UVOT
U,58286.06385,2.2365995,0.05027252,UVOT
B,58286.06443,1.3290367,0.031132288,UVOT
W2,58286.06578,4.6571908,0.06922423,UVOT
HX,58286.06582,0.980372,0.073207,XRT
SX,58286.06582,0.518761,0.053389,XRT
V,58286.06713,1.0036415,0.031338872,UVOT
M2,58286.06832,3.8026426,0.068692297,UVOT
W1,58287.72222,3.1586892,0.05779919,UVOT
U,58287.7231,2.1647713,0.047626556,UVOT
B,58287.72371,1.31431265,0.030106365,UVOT
W2,58287.72517,4.5348087,0.066366837,UVOT
HX,58287.72526,0.763123,0.048853,XRT
SX,58287.72526,0.491753,0.039287,XRT
V,58287.72662,0.9664977,0.029877123,UVOT
M2,58287.72795,3.8978677,0.06744189,UVOT
W1,58288.92974,3.1382222,0.062254513,UVOT
U,58288.93047,2.2293428,0.05260218,UVOT
B,58288.93098,1.3198539,0.032771003,UVOT
HX,58288.93219,1.018594,0.063534,XRT
SX,58288.93219,0.478499,0.043582,XRT
W2,58288.9322,4.547923,0.07092701,UVOT
V,58288.9334,1.0445459,0.034204305,UVOT
M2,58288.93443,3.8534568,0.073818307,UVOT
W1,58289.71266,3.127173,0.06007578,UVOT
U,58289.71345,2.1942444,0.05033977,UVOT
B,58289.714,1.2940253,0.03120815,UVOT
W2,58289.71531,4.524276,0.06875957,UVOT
HX,58289.71599,1.247357,0.106088,XRT
SX,58289.71599,0.5683,0.071695,XRT
V,58289.71661,1.0142353,0.032404354,UVOT
M2,58289.71841,3.884649,0.059357247,UVOT
W1,58290.05317,3.0629718,0.057390924,UVOT
U,58290.05402,2.1613313,0.04795759,UVOT
B,58290.05462,1.219555,0.028730982,UVOT
HX,58290.05602,1.222447,0.079499,XRT
SX,58290.05602,0.577421,0.054791,XRT
W2,58290.05603,4.454216,0.066399045,UVOT
V,58290.05743,1.0037098,0.030942934,UVOT
M2,58290.05862,3.821459,0.06979931,UVOT
W1,58291.57225,2.9386277,0.05208228,UVOT
U,58291.57326,2.1996114,0.04559058,UVOT
B,58291.57396,1.19312205,0.026235146,UVOT
W2,58291.57565,4.550971,0.06403483,UVOT
HX,58291.57591,1.053603,0.084841,XRT
SX,58291.57591,0.470543,0.057073,XRT
V,58291.57731,0.9874371,0.028340243,UVOT
M2,58291.579,3.697418,0.0593007,UVOT
W1,58292.50346,3.085936,0.060365677,UVOT
U,58292.50422,2.1468462,0.049871373,UVOT
B,58292.50476,1.19138775,0.02963943,UVOT
HX,58292.50551,0.80876,0.078012,XRT
SX,58292.50551,0.435715,0.05717,XRT
W2,58292.50603,4.3831942,0.068011335,UVOT
V,58292.50729,1.030344,0.033157306,UVOT
M2,58292.50785,3.65192,0.10839432,UVOT
HX,58294.04041,0.876241,0.057053,XRT
SX,58294.04041,0.456707,0.041276,XRT
W1,58295.82319,2.9574145,0.058788735,UVOT
U,58295.82395,2.0094325,0.047507166,UVOT
B,58295.82448,1.2301981,0.030664702,UVOT
HX,58295.82545,0.856496,0.060599,XRT
SX,58295.82545,0.409486,0.041918,XRT
W2,58295.82572,4.1707187,0.06580076,UVOT
V,58295.82695,0.9850952,0.032599826,UVOT
M2,58295.82775,3.5046964,0.08055729,UVOT
W1,58296.02634,2.885282,0.05493873,UVOT
U,58296.02719,2.0548101,0.046294173,UVOT
B,58296.02778,1.2146072,0.028940757,UVOT
HX,58296.02907,0.679573,0.052707,XRT
SX,58296.02907,0.462712,0.043433,XRT
W2,58296.02919,4.038322,0.06154663,UVOT
V,58296.03058,0.96764654,0.03060949,UVOT
M2,58296.03165,3.4146947,0.06779991,UVOT
W1,58297.09108,3.0021436,0.059337395,UVOT
U,58297.09184,2.0850924,0.048992756,UVOT
B,58297.09236,1.223288,0.03051835,UVOT
W2,58297.09361,4.1228577,0.065055693,UVOT
HX,58297.09362,0.861309,0.082197,XRT
SX,58297.09362,0.424564,0.05778,XRT
V,58297.09484,0.9519903,0.031766618,UVOT
M2,58297.09606,3.550599,0.064643755,UVOT
W1,58298.02681,2.9392968,0.05791305,UVOT
U,58298.02759,2.1003959,0.04892338,UVOT
B,58298.02812,1.2320597,0.03043121,UVOT
HX,58298.02932,0.838761,0.092158,XRT
SX,58298.02932,0.516222,0.072525,XRT
W2,58298.02941,4.133075,0.064716774,UVOT
V,58298.03068,0.9886997,0.032624726,UVOT
M2,58298.03169,3.4531466,0.069553756,UVOT
W1,58299.67603,2.9219886,0.05662393,UVOT
B,58299.6774,1.2101952,0.02938949,UVOT
HX,58299.67858,0.992306,0.067191,XRT
SX,58299.67858,0.502148,0.047896,XRT
W2,58299.67873,4.2317265,0.06506011,UVOT
V,58299.68004,0.99908485,0.031807887,UVOT
M2,58299.68103,3.4768327,0.07123922,UVOT
W1,58300.68422,2.9796854,0.055798497,UVOT
U,58300.6851,2.072408,0.0458951,UVOT
B,58300.68571,1.2129067,0.028489336,UVOT
W2,58300.68715,4.1556626,0.06247906,UVOT
HX,58300.68718,1.049669,0.094447,XRT
SX,58300.68718,0.586177,0.070661,XRT
V,58300.68858,1.0108216,0.0313459,UVOT
M2,58300.68983,3.503266,0.064169787,UVOT
W1,58301.21244,2.8849817,0.054685734,UVOT
U,58301.2133,2.039355,0.045550404,UVOT
B,58301.2139,1.21031,0.028569982,UVOT
HX,58301.21504,1.002738,0.065614,XRT
SX,58301.21504,0.549296,0.048625,XRT
W2,58301.21531,4.2087414,0.063417706,UVOT
V,58301.21672,0.9596337,0.030166708,UVOT
M2,58301.21778,3.5524636,0.06998786,UVOT
W1,58302.41251,2.6719573,0.056011864,UVOT
U,58302.41323,2.0636123,0.049849424,UVOT
B,58302.41373,1.23579574,0.03192857,UVOT
HX,58302.41489,1.000349,0.086572,XRT
SX,58302.41489,0.475324,0.059021,XRT
W2,58302.41491,4.126636,0.066341685,UVOT
V,58302.41609,0.960662,0.033776114,UVOT
M2,58302.41709,3.6349186,0.07173034,UVOT
W1,58303.00099,2.9107986,0.05296569,UVOT
U,58303.00194,2.0392159,0.043800063,UVOT
B,58303.0026,1.191294,0.02704006,UVOT
W2,58303.00418,4.0789563,0.05985248,UVOT
HX,58303.00542,0.944173,0.065979,XRT
SX,58303.00542,0.542611,0.050044,XRT
V,58303.00573,0.9962099,0.029435883,UVOT
M2,58303.00744,3.499771,0.0564827,UVOT
U,58303.47472,1.9885345,0.04715911,UVOT
B,58303.47525,1.2609817,0.031436823,UVOT
W2,58303.47649,3.9793625,0.063683664,UVOT
HX,58303.47653,0.862501,0.061837,XRT
SX,58303.47653,0.481253,0.046205,XRT
V,58303.47771,0.9147392,0.031802183,UVOT
M2,58303.47881,3.4712352,0.066751977,UVOT
W1,58304.33249,2.9697765,0.05698803,UVOT
U,58304.33331,2.051694,0.0465339,UVOT
B,58304.33388,1.2394422,0.029591459,UVOT
W2,58304.33524,4.0772297,0.062632983,UVOT
HX,58304.33528,1.093783,0.075991,XRT
SX,58304.33528,0.64499,0.058487,XRT
V,58304.33658,0.996039,0.031327185,UVOT
M2,58304.33777,3.3538476,0.063221094,UVOT
W1,58305.32963,2.877995,0.055205124,UVOT
U,58305.33046,1.9778384,0.04506878,UVOT
B,58305.33104,1.21664865,0.0291819,UVOT
W2,58305.3324,4.136982,0.063124013,UVOT
HX,58305.33245,1.079139,0.074835,XRT
SX,58305.33245,0.560474,0.054003,XRT
V,58305.33376,0.9930942,0.03128279,UVOT
M2,58305.33497,3.443166,0.06383528,UVOT
W1,58306.64979,2.9009174,0.053396263,UVOT
U,58306.65071,2.0327087,0.044319342,UVOT
B,58306.65134,1.2179969,0.027941764,UVOT
W2,58306.65288,3.879069,0.05812306,UVOT
HX,58306.65292,1.219321,0.075646,XRT
SX,58306.65292,0.543832,0.050684,XRT
V,58306.65438,0.9705859,0.02943274,UVOT
M2,58306.65572,3.328412,0.060273795,UVOT
W1,58307.24864,2.823359,0.05676654,UVOT
B,58307.24992,1.1549688,0.02927282,UVOT
HX,58307.25101,0.844646,0.057023,XRT
SX,58307.25101,0.487706,0.043779,XRT
W2,58307.25117,3.8734644,0.062103153,UVOT
V,58307.25241,0.941837,0.031609157,UVOT
W1,58308.24737,2.7384895,0.05812397,UVOT
U,58308.24805,1.9099942,0.04731829,UVOT
B,58308.24853,1.1600842,0.030687435,UVOT
W2,58308.24966,3.7150936,0.06241697,UVOT
HX,58308.2497,0.633224,0.04958,XRT
SX,58308.2497,0.427405,0.040767,XRT
V,58308.25077,0.9798746,0.033874716,UVOT
M2,58308.25179,3.2876584,0.06606486,UVOT
B,58309.98349,1.06768435,0.028480247,UVOT
HX,58309.9845,0.590728,0.065602,XRT
SX,58309.9845,0.45428,0.057541,XRT
V,58309.98585,0.87293886,0.03187057,UVOT
W1,58310.31427,2.592524,0.05269406,UVOT
B,58310.3156,1.1258336,0.028281212,UVOT
HX,58310.31646,0.566572,0.047973,XRT
SX,58310.31646,0.323786,0.036153,XRT
W2,58310.31692,3.4368884,0.056007666,UVOT
V,58310.3182,0.8955836,0.030808354,UVOT
W1,58311.51118,2.5883421,0.051387265,UVOT
U,58311.51201,1.9171354,0.0441493,UVOT
B,58311.51258,1.0544173,0.026754737,UVOT
HX,58311.51386,0.549568,0.042806,XRT
SX,58311.51386,0.28332,0.030715,XRT
W2,58311.51395,3.4992734,0.055779237,UVOT
V,58311.5153,0.95714376,0.031455834,UVOT
M2,58311.51637,3.0247882,0.062357486,UVOT
HX,58312.311,0.715677,0.057119,XRT
SX,58312.311,0.358989,0.040536,XRT
W1,58313.30504,2.5149699,0.053686325,UVOT
U,58313.30576,1.8705257,0.04592868,UVOT
B,58313.30626,1.0379059,0.0281741,UVOT
HX,58313.30735,0.741594,0.07903,XRT
SX,58313.30735,0.491931,0.064702,XRT
W2,58313.30744,3.306678,0.056484794,UVOT
V,58313.30861,0.895337,0.032351346,UVOT
M2,58313.30953,2.94243,0.065043755,UVOT
W1,58314.03517,2.6226491,0.04966433,UVOT
U,58314.03609,1.7782386,0.039840594,UVOT
B,58314.03672,1.1010439,0.02644949,UVOT
HX,58314.03796,0.778862,0.0546,XRT
SX,58314.03796,0.440929,0.041152,XRT
W2,58314.03824,3.413167,0.052824945,UVOT
V,58314.03974,0.9474715,0.030027413,UVOT
M2,58314.04076,3.02041,0.06509284,UVOT
W1,58315.16442,2.5264962,0.04694016,UVOT
U,58315.16541,1.75126,0.038092538,UVOT
B,58315.16608,1.0751874,0.024992046,UVOT
HX,58315.1675,0.791846,0.049005,XRT
SX,58315.1675,0.397605,0.034812,XRT
W2,58315.16773,3.3875846,0.051151404,UVOT
V,58315.16935,0.8829615,0.02749617,UVOT
M2,58315.1705,2.9851826,0.06073728,UVOT
W1,58316.1594,2.419265,0.049451557,UVOT
U,58316.16021,1.8193256,0.042468204,UVOT
B,58316.16077,1.1056951,0.027582588,UVOT
HX,58316.16193,0.835143,0.057101,XRT
SX,58316.16193,0.432546,0.041049,XRT
W2,58316.1621,3.311899,0.054055425,UVOT
V,58316.16342,0.9166694,0.030548474,UVOT
M2,58316.16438,2.892021,0.06378396,UVOT
W1,58317.61883,2.5498661,0.050839765,UVOT
U,58317.61966,1.8040828,0.041740833,UVOT
B,58317.62023,1.1119943,0.027360954,UVOT
HX,58317.62149,0.872077,0.055137,XRT
SX,58317.62149,0.49389,0.041517,XRT
W2,58317.6216,3.3390472,0.053865737,UVOT
V,58317.62295,0.93013535,0.030242337,UVOT
M2,58317.62401,2.938545,0.06127679,UVOT
B,58318.68893,1.0491066,0.028994562,UVOT
HX,58318.69002,0.813607,0.065913,XRT
SX,58318.69002,0.524967,0.052936,XRT
V,58318.6912,0.9739248,0.034446223,UVOT
W1,58319.74329,2.4450299,0.046817073,UVOT
U,58319.74423,1.7694246,0.039104123,UVOT
B,58319.74487,1.0793612,0.025377462,UVOT
HX,58319.74619,0.790752,0.063849,XRT
SX,58319.74619,0.440263,0.047734,XRT
W2,58319.74642,3.2950066,0.05100298,UVOT
V,58319.74796,0.9275662,0.02847448,UVOT
M2,58319.74903,2.905348,0.061460965,UVOT
B,58320.54137,1.0962241,0.026831465,UVOT
HX,58320.54246,0.68262,0.049205,XRT
SX,58320.54246,0.350615,0.035222,XRT
V,58320.54417,0.89588955,0.029162447,UVOT
B,58321.01268,1.0710091,0.023371807,UVOT
HX,58321.01354,0.598147,0.044615,XRT
SX,58321.01354,0.420856,0.037465,XRT
V,58321.0164,0.9421461,0.026638133,UVOT
W1,58322.07245,2.4238212,0.044181625,UVOT
B,58322.07426,1.1102062,0.02439475,UVOT
HX,58322.07599,0.704782,0.043732,XRT
SX,58322.07599,0.337299,0.0303,XRT
W2,58322.07604,3.1226042,0.04689077,UVOT
V,58322.07779,0.93904275,0.027115925,UVOT
M2,58322.07925,2.6964652,0.05072345,UVOT
HX,58323.92779,0.745502,0.046458,XRT
SX,58323.92779,0.428247,0.0353,XRT
V,58323.92941,0.9308138,0.028062077,UVOT
B,58324.19222,1.0911628,0.026015275,UVOT
HX,58324.19353,0.57013,0.04661,XRT
SX,58324.19353,0.409831,0.039624,XRT
W2,58324.1937,2.9802207,0.048120026,UVOT
V,58324.19516,0.9009538,0.028480906,UVOT
M2,58324.19624,2.7217017,0.058392413,UVOT
U,58325.93203,1.7494464,0.039550028,UVOT
B,58325.93265,1.02605616,0.02518066,UVOT
HX,58325.93387,0.818099,0.052515,XRT
SX,58325.93387,0.460863,0.039565,XRT
W2,58325.93414,3.086713,0.04923945,UVOT
V,58325.93562,0.9071211,0.028984763,UVOT
W1,58326.59008,2.447265,0.049360337,UVOT
U,58326.59091,1.7334882,0.040371078,UVOT
B,58326.59148,1.033122,0.025939863,UVOT
HX,58326.59187,1.082254,0.08116,XRT
SX,58326.59187,0.603899,0.060622,XRT
W2,58326.59285,3.0612692,0.05042082,UVOT
V,58326.59412,0.8847543,0.036423854,UVOT
W1,58327.58568,2.3244961,0.04826917,UVOT
U,58327.58648,1.7520106,0.041480815,UVOT
B,58327.58702,1.1009035,0.027698605,UVOT
W2,58327.58834,3.1133346,0.051757726,UVOT
HX,58327.58861,0.88405,0.067531,XRT
SX,58327.58861,0.453595,0.048439,XRT
V,58327.58965,0.8823931,0.029802987,UVOT
M2,58327.59103,2.6458438,0.049706466,UVOT
W1,58328.57161,2.4839358,0.051493065,UVOT
U,58328.57238,1.7240746,0.0412561,UVOT
B,58328.57292,1.0226269,0.026510432,UVOT
HX,58328.57396,0.891775,0.073593,XRT
SX,58328.57396,0.38583,0.048541,XRT
W2,58328.5742,3.163484,0.05306792,UVOT
V,58328.57545,0.91751236,0.030751428,UVOT
M2,58328.57631,2.7181824,0.065704573,UVOT
U,58329.64363,1.7121456,0.037719682,UVOT
B,58329.64429,1.0450207,0.024566417,UVOT
HX,58329.64589,0.809164,0.059927,XRT
SX,58329.64589,0.49333,0.046928,XRT
V,58329.6474,0.8657662,0.026986896,UVOT
U,58331.5705,1.6855796,0.037880309,UVOT
B,58331.57113,1.0699997,0.025430123,UVOT
HX,58331.57253,0.744278,0.050439,XRT
SX,58331.57253,0.502612,0.041565,XRT
V,58331.57414,0.8801625,0.027829643,UVOT
W1,58332.81979,2.4423155,0.04883062,UVOT
U,58332.82064,1.6937947,0.039230858,UVOT
B,58332.82122,1.0736006,0.026391162,UVOT
W2,58332.82261,3.285416,0.052876217,UVOT
HX,58332.82267,0.904143,0.054421,XRT
SX,58332.82267,0.412638,0.03686,XRT
V,58332.82398,0.8442725,0.028041343,UVOT
M2,58332.82522,2.7987929,0.05477028,UVOT
W1,58333.94812,2.4904519,0.0488945,UVOT
U,58333.94899,1.685676,0.038709477,UVOT
B,58333.94958,1.0892209,0.02641967,UVOT
W2,58333.95102,3.363989,0.053130623,UVOT
HX,58333.95105,0.801691,0.050179,XRT
SX,58333.95105,0.344692,0.032935,XRT
V,58333.95244,0.89470735,0.02878789,UVOT
M2,58333.9537,2.8723775,0.055759914,UVOT
B,58334.69182,1.0706869,0.025445643,UVOT
HX,58334.69331,1.051676,0.06634,XRT
SX,58334.69331,0.493552,0.045471,XRT
V,58334.6948,0.8616879,0.027461023,UVOT
HX,58335.74369,0.847773,0.077786,XRT
SX,58335.74369,0.551027,0.062773,XRT
B,58336.74606,1.07425114,0.026184443,UVOT
W2,58336.74748,3.329829,0.05304606,UVOT
HX,58336.74755,0.932393,0.068832,XRT
SX,58336.74755,0.542573,0.052678,XRT
V,58336.74889,0.9153108,0.029244172,UVOT
M2,58336.75018,2.8253953,0.05421957,UVOT
W1,58337.94954,2.5755777,0.05122569,UVOT
U,58337.95037,1.7961347,0.041664942,UVOT
B,58337.95094,1.0973624,0.027167515,UVOT
HX,58337.95213,0.88739,0.100048,XRT
SX,58337.95213,0.59538,0.082124,XRT
W2,58337.95231,3.4273863,0.05484218,UVOT
V,58337.95367,0.8940881,0.029746683,UVOT
W1,58338.86103,2.5333419,0.05122218,UVOT
U,58338.86183,1.7873391,0.041695038,UVOT
B,58338.86239,1.0699432,0.026815284,UVOT
W2,58338.86372,3.4759837,0.05591013,UVOT
HX,58338.86379,0.946866,0.055106,XRT
SX,58338.86379,0.420642,0.036818,XRT
V,58338.86504,0.9104471,0.0299193,UVOT
M2,58338.86623,2.920442,0.05723968,UVOT
W1,58339.74097,2.5408446,0.053352927,UVOT
W1,58340.00626,2.4497992,0.048933273,UVOT
U,58340.00711,1.767832,0.04063173,UVOT
B,58340.00769,1.11107844,0.027040974,UVOT
HX,58340.0085,1.013323,0.08035,XRT
SX,58340.0085,0.570086,0.060137,XRT
W2,58340.00909,3.4369514,0.054534263,UVOT
V,58340.01047,0.9129956,0.02950121,UVOT
M2,58340.01118,2.8887855,0.07927475,UVOT
W1,58341.00316,2.481431,0.04920931,UVOT
U,58341.00401,1.7472135,0.039953644,UVOT
B,58341.00461,1.07878785,0.026285198,UVOT
HX,58341.00599,1.011518,0.074893,XRT
SX,58341.00599,0.547631,0.05522,XRT
W2,58341.00602,3.3572747,0.053387544,UVOT
V,58341.00743,0.8877938,0.0289549,UVOT
M2,58341.00862,2.8585685,0.056998366,UVOT
B,58343.05704,1.06515935,0.026028968,UVOT
HX,58343.05851,0.924157,0.073551,XRT
SX,58343.05851,0.595264,0.059005,XRT
V,58343.0599,0.8489744,0.027933717,UVOT
